file,num_elements,power_mean_us,tim_mean_us,atim_mean_us,apower_mean_us
TrackA/1,1,0.026928,0.025168,0.042064,0.038852
TrackA/10,1025,33.6037,33.7073,40.3761,40.568
TrackA/100,2,0.027764,0.026884,0.0484,0.046244
TrackA/101,1,0.025916,0.024992,0.043428,0.03868
TrackA/102,2,0.02728,0.026536,0.047476,0.046156
TrackA/103,260,3.49223,3.46236,4.85423,4.84341
TrackA/104,1024,4.76338,4.40926,9.3123,9.46674
TrackA/105,128,3.40045,3.15584,3.9017,3.83658
TrackA/106,130,1.21179,1.19437,1.8851,1.87326
TrackA/107,130,1.28935,1.19274,1.93407,1.94054
TrackA/108,257,5.41978,5.36967,6.90046,7.03207
TrackA/109,138,1.37688,1.37702,2.14814,2.05903
TrackA/11,10000,548.737,547.517,676.244,676.612
TrackA/110,139,1.51008,1.64546,2.29421,2.17326
TrackA/111,134,0.770676,0.707844,1.38862,1.41358
TrackA/112,213,2.78588,2.82755,3.8918,3.86831
TrackA/113,262,3.13318,3.01416,4.65949,4.30066
TrackA/114,172,1.94028,1.98084,2.84911,2.67918
TrackA/115,129,2.85369,2.74628,3.36274,3.3927
TrackA/116,584,3.14818,3.01403,5.70452,5.83247
TrackA/117,395,1.94273,2.01547,3.97695,3.85115
TrackA/118,324,1.47712,1.38753,2.81558,2.95031
TrackA/119,198,0.888288,1.00318,1.95144,1.91664
TrackA/12,1025,34.4605,33.9636,41.9238,40.988
TrackA/120,323,1.41477,1.60015,2.90011,2.83661
TrackA/121,10304,89.2542,90.5685,148.339,151.588
TrackA/122,10304,89.5432,100.159,163.307,150.037
TrackA/123,10335,89.6681,91.2918,147.236,146.548
TrackA/124,10205,88.1211,97.6646,153.027,145.1
TrackA/125,10205,92.818,94.7309,161.018,146.166
TrackA/126,10205,90.2065,94.8217,159.805,146.096
TrackA/127,10075,85.2469,93.5351,152.072,147.968
TrackA/128,10205,89.8941,93.5747,151.426,157.401
TrackA/129,10985,96.5468,102.694,162.512,160.878
TrackA/13,71,1.17587,1.13444,2.66409,1.67626
TrackA/130,10725,94.679,101.346,162.973,151.049
TrackA/131,10855,94.7599,101.503,169.187,155.281
TrackA/132,10205,86.681,92.6576,147.21,145.538
TrackA/133,10270,86.8437,87.9649,147.796,145.952
TrackA/134,10790,94.2332,98.1667,161.395,158.47
TrackA/135,10725,95.7173,99.9662,160.246,156.967
TrackA/136,10595,92.7409,100.34,155.374,158.802
TrackA/137,10465,93.5972,101.775,167.43,151.733
TrackA/138,10400,89.6072,97.0151,159.695,151.416
TrackA/139,11050,99.0431,105.156,169.971,163.981
TrackA/140,11700,103.791,114.827,174.94,168.6
TrackA/141,198,0.729488,0.701116,1.63006,1.64678
TrackA/142,198,0.739396,0.805352,1.72282,1.63002
TrackA/143,10855,95.4696,105.614,170.81,154.786
TrackA/144,10660,93.0009,96.0506,154.599,154.686
TrackA/145,10465,136.041,137.942,204.214,199.588
TrackA/146,11440,151.158,161.95,229.338,222.697
TrackA/147,11505,149.897,166.012,238.571,221.199
TrackA/148,11570,153.862,158.425,238.433,235.301
TrackA/149,11830,40.608,42.7339,97.4747,98.0453
TrackA/15,1025,35.3491,35.5173,42.2003,42.178
TrackA/150,1790,7.24837,9.40756,17.0175,15.7352
TrackA/151,17900,61.3524,74.7294,157.775,147.186
TrackA/152,22100,75.0502,87.4333,190.922,183.984
TrackA/153,1183000,4219.71,4275.99,10050.2,9900.63
TrackA/154,10205,133.891,159.431,215.603,199.448
TrackA/155,231,3.33005,3.07629,4.21776,4.32183
TrackA/156,521,2.48478,2.84762,5.46176,5.035
TrackA/157,521,2.24938,2.74109,5.27854,4.67877
TrackA/158,269,1.30248,1.35963,3.36225,2.7385
TrackA/159,258,0.995652,0.932956,2.1766,4.4643
TrackA/16,1025,34.2956,36.9532,41.4752,41.7348
TrackA/160,647,3.16267,3.05438,6.04663,7.27188
TrackA/161,521,2.13,2.26174,4.96112,4.49136
TrackA/162,647,2.65744,3.31258,7.84903,5.73356
TrackA/163,1081600,3047.34,3193.13,8431.93,7825.53
TrackA/164,1351680,4423.54,5033.22,11643.1,11450
TrackA/165,1053000,10843.5,10824.6,17560.3,16842
TrackA/166,1027000,10037.1,10683.8,17135.2,16862
TrackA/167,1027000,10351.9,10829.9,17427.4,16631.2
TrackA/168,1111500,11091.3,11805.6,19330.8,18216.8
TrackA/169,1066000,10774.8,10906.4,17691.9,17373.6
TrackA/17,1025,34.5993,35.934,43.1511,41.231
TrackA/170,1014000,9885.94,10784.3,17263.7,16284
TrackA/171,1027000,10126.3,11478.3,18352.7,16583.2
TrackA/172,3334400,12175.3,14840.1,31793,28705.8
TrackA/173,1109804,29822.7,29535.8,41167.9,40960.5
TrackA/174,1079507,26475.2,25366.1,35942.9,37072.2
TrackA/175,10000,68.3094,72.8822,127.243,122.62
TrackA/176,607,2.45838,2.36154,5.23903,5.27894
TrackA/177,10007,30.5711,32.0072,75.9038,79.9808
TrackA/178,10007,27.136,32.2342,80.8051,74.2034
TrackA/179,15800,452.558,457.646,579.004,566.872
TrackA/18,1025,34.9167,35.5964,41.7491,42.2337
TrackA/180,18000,411.501,409.644,492.999,519.521
TrackA/181,1027000,14772.4,14757.7,21753.2,21658.6
TrackA/182,1170000,16892.1,16425.6,24512,25048
TrackA/183,1059500,15191.3,15068.9,22203.4,22547.3
